Date,Description,Category,Income/Expense,Amount
2024-10-19,Electricity Bill from AGL,Utilities,Expense,115.00
2024-10-20,Dinner at Italian Bowl,Dining Out,Expense,55.00
2024-10-21,eBay Purchase,Shopping,Expense,80.00
2024-10-22,Taxi Ride to Meeting,Transportation,Expense,30.00
2024-10-23,Flight to Brisbane,Travel,Expense,180.00
2024-10-24,Hotel Stay in Brisbane,Accommodation,Expense,280.00
2024-10-25,Client Payment for Consulting,Income,Income,2200.00
2024-10-26,Parking Fee at Darling Harbour,Transportation,Expense,25.00
2024-10-27,Grocery shopping at Aldi,Groceries,Expense,160.00
2024-10-28,New Smartphone from Apple Store,Electronics,Expense,1200.00
2024-10-29,Gift from Friend,Income,Income,100.00
2024-10-30,Lunch at Bondi Beach,Dining Out,Expense,35.00
2024-11-01,Salary from ABC Corp,Income,Income,6000.00
2024-11-02,Grocery shopping at Coles,Groceries,Expense,220.00
2024-11-03,Sydney Water Bill,Utilities,Expense,82.00
2024-11-04,Amazon Prime Subscription,Entertainment,Expense,6.99
2024-11-05,Lunch at The Grounds of Alexandria,Dining Out,Expense,50.00
2024-11-06,Opal Card Top-up,Transportation,Expense,50.00
2024-11-07,Freelance Photography Work,Income,Income,1700.00
2024-11-08,Petrol at Shell Station,Transportation,Expense,68.00
2024-11-09,Gym Membership Fee,Fitness,Expense,40.00
2024-11-10,Rent Payment,Accommodation,Expense,2000.00
2024-11-11,Office Supplies from Officeworks,Miscellaneous,Expense,95.00
2024-11-12,Dividend from Stocks,Investments,Income,270.00
2024-11-13,Coffee at Local Cafe,Dining Out,Expense,4.00
2024-11-14,Health Insurance Premium,Insurance,Expense,150.00
2024-11-15,Theatre Tickets at Capitol Theatre,Entertainment,Expense,110.00
2024-11-16,Grocery shopping at Woolworths,Groceries,Expense,195.50
2024-11-17,Interest Earned on Savings,Income,Income,24.00
2024-11-18,Donation to Salvation Army,Charity,Expense,100.00
2024-11-19,Electricity Bill from AGL,Utilities,Expense,118.00
2024-11-20,Dinner at Thai Pothong,Dining Out,Expense,60.00
2024-11-21,Shopping at Myer,Shopping,Expense,150.00
2024-11-22,Uber Ride to Concert,Transportation,Expense,28.00
2024-11-23,Flight to Perth,Travel,Expense,350.00
2024-11-24,Hotel Stay in Perth,Accommodation,Expense,320.00
2024-11-25,Client Payment for Consulting,Income,Income,2100.00
2024-11-26,Parking Fee at Westfield,Transportation,Expense,20.00
2024-11-27,Grocery shopping at Aldi,Groceries,Expense,170.00
2024-11-28,New Tablet from Harvey Norman,Electronics,Expense,800.00
2024-11-29,Birthday Gift to Sibling,Expense,Expense,200.00
2024-11-30,Dinner at Sydney Tower,Dining Out,Expense,180.00
2024-12-01,Salary from ABC Corp,Income,Income,6000.00
2024-12-02,Grocery shopping at Coles,Groceries,Expense,230.00
2024-12-03,Sydney Water Bill,Utilities,Expense,83.50
2024-12-04,Disney+ Subscription,Entertainment,Expense,8.99
2024-12-05,Lunch at Manly Wharf,Dining Out,Expense,48.00
2024-12-06,Opal Card Top-up,Transportation,Expense,50.00
2024-12-07,Freelance Writing Work,Income,Income,1600.00
2024-12-08,Petrol at BP Station,Transportation,Expense,70.00
2024-12-09,Gym Membership Fee,Fitness,Expense,40.00
2024-12-10,Rent Payment,Accommodation,Expense,2000.00
2024-12-11,Office Supplies from Officeworks,Miscellaneous,Expense,85.00
2024-12-12,Dividend from Stocks,Investments,Income,280.00
2024-12-13,Coffee at Starbucks,Dining Out,Expense,5.00
2024-12-14,Health Insurance Premium,Insurance,Expense,150.00
2024-12-15,Ballet Tickets at Sydney Opera House,Entertainment,Expense,130.00
2024-12-16,Grocery shopping at Woolworths,Groceries,Expense,205.00
2024-12-17,Interest Earned on Savings,Income,Income,26.00
2024-12-18,Donation to St. Vincent de Paul,Charity,Expense,100.00
2024-12-19,Electricity Bill from AGL,Utilities,Expense,122.00
2024-12-20,Dinner at Chinatown,Dining Out,Expense,55.00
2024-12-21,Christmas Shopping at David Jones,Shopping,Expense,500.00
2024-12-22,Taxi Ride Home,Transportation,Expense,22.00
2024-12-23,Flight to Gold Coast,Travel,Expense,220.00
2024-12-24,Hotel Stay in Gold Coast,Accommodation,Expense,350.00
2024-12-25,Holiday Bonus from ABC Corp,Income,Income,1000.00
2024-12-26,Boxing Day Sales Shopping,Shopping,Expense,400.00
2024-12-27,Grocery shopping at Aldi,Groceries,Expense,180.00
2024-12-28,New Year's Eve Party Tickets,Entertainment,Expense,150.00
2024-12-29,Gift from Relatives,Income,Income,300.00
2024-12-30,Dinner at Opera Bar,Dining Out,Expense,200.00
2024-12-31,Year-End Charity Donation,Charity,Expense,500.00
